feature,importance
f803,0.186562182220315
f878,0.1865181513063308
f851,0.1864437599755124
f894,0.18643834475038037
f778,0.18638748081673903
f783,0.18637980473834864
f809,0.18619888234502913
f877,0.18613468874137043
f800,0.18595578345624192
f789,0.18591216046521566
f788,0.18588931088275074
f898,0.18566468723827845
f790,0.18562527469004764
f784,0.1855326672072917
f864,0.18544296274421937
f805,0.18532797256216885
f901,0.18487590891476996
f908,0.1848611337984234
f913,0.18470525595136547
f906,0.18453865766223518
f888,0.18440389916737254
f875,0.1839902536796001
f920,0.1839769712010368
f883,0.18389986841894948
f938,0.18380824663770823
f896,0.18374543267015597
f899,0.18371703985243135
f796,0.18367034658548126
f782,0.18364498718242706
f895,0.18348991362810962
f917,0.1834391430549481
f892,0.1831482014887383
f921,0.18312413448709403
f915,0.18285061535565117
f922,0.1828238343351145
f914,0.18258073364896035
f918,0.18255843413408443
f909,0.18243024060437876
f936,0.1824272447890078
f929,0.18242078155606173
f912,0.18234226367110598
f903,0.18229608522793553
f905,0.18211804059224837
f897,0.1819931136400837
f911,0.1816976278218094
f945,0.18153967954549846
f926,0.18148026155788946
f919,0.1813707242855597
f925,0.18134626169837756
f930,0.18130627725943793
f947,0.18120911965696512
f884,0.18110497783325036
f940,0.18104918416395052
f916,0.181006022607167
f910,0.18079881242826257
f927,0.18079375506871292
f937,0.18078000013851198
f935,0.18060252256231885
f923,0.18042790497119532
f924,0.18015833140882437
f931,0.18003588437274362
f934,0.17977743184187117
f941,0.17975071990523275
f949,0.1796470392804508
f933,0.17930068991067266
f943,0.17894377064647368
f946,0.17887577327167622
f932,0.17882890329304338
f956,0.17823785482199614
f939,0.17770765361029608
f944,0.17698887552214404
f955,0.17675896215251405
f928,0.1766333452925168
f950,0.17652859408780708
f942,0.17611457180378645
f961,0.1759730678762077
f948,0.17557929327273808
f959,0.17541160404494371
f954,0.1753224870780169
f952,0.1753184147924737
f951,0.17521515894437636
f957,0.17470143778229785
f965,0.17447777936516903
f960,0.17447263237999658
f958,0.17429718176167727
f953,0.17388256799029853
f963,0.17375002439526943
f962,0.1729129011477693
f967,0.17291017050062463
f964,0.17286352607247144
f969,0.1712909819323083
f966,0.17080803118180202
f972,0.17046697850008274
f970,0.168255134088801
f968,0.16795812743462843
f971,0.1666467789447189
f974,0.16655484696386305
f973,0.16648011547788832
f975,0.16637435394955502
f978,0.1658194046569756
f977,0.16501786999987758
f976,0.16444155297004995
f981,0.1636630975771522
f979,0.16122034026440415
f980,0.16100808877967138
f983,0.15957821586539228
f982,0.15868823147340405
f987,0.15772428161674754
f986,0.15671597619893593
f985,0.15603965886603818
f988,0.15584052254087155
f984,0.155839008046126
f990,0.15390092005858022
f991,0.15369388985827462
f992,0.15337912522973227
f993,0.15111126506811495
f989,0.15091531781522924
f994,0.15061905501059006
f995,0.14913832245854394
f996,0.14316589747445257
f997,0.14165442389842559
f998,0.1414292938840421
f999,0.140395097887214
f1000,0.13815944717170614
f1002,0.13687076477221768
f1001,0.13654337427836408
f1003,0.1335353260140278
f1005,0.12904414734021838
f1004,0.12869776879532074
f1006,0.12568198850959758
f1,0.12101660613529253
f1007,0.1199405283370638
f1008,0.11907981991692404
f1009,0.11748323598760652
f1010,0.1160984669778462
f1011,0.11170697192624308
f1012,0.10261793578422333
f1013,0.10104271476112052
f1015,0.09454111903348189
f1014,0.09431950362940668
f1016,0.08685531631617979
f1017,0.08551849697834543
f1018,0.07546357938657934
f1019,0.07331829304605952
f1020,0.06072794065513664
f0,0.059776315875417756
f1021,0.048712027070378416
f1022,0.027998639155341586
f1023,0.011424353401149778
